Date,Time,Rink,Rink Number,Game Number,Division,TEAM 1 ,Score,TEAM 2 ,Score,Official ID,First Name,Last Name,,Pre1,Pre2,Pre3,Post1,Post2,Post3,Post4,Post5,,Min,Max
9/11/21,17:45,Twin Ponds East,2,224,14U American,Kings 14U A American,14,Cap City Vipers 14U A American,2,1213,G,Flapjack,,,4,3,4,4,4,3,,,3,4
09/11/21,15:10,York Ice Arena,1,25,14U AA,Delco Phantoms 14U AA,1,York Devils 14U AA,6,1215,R,Follow,,,4,2,3,4,4,2,,,2,4
09/11/21,15:10,York Ice Arena,1,25,14U AA,Delco Phantoms 14U AA,1,York Devils 14U AA,6,1227,Q,Plate,,,2,3,4,3,2,1,,,1,4
9/11/21,16:40,York Ice Arena,1,49,14U B National,Snider Hockey 14U B National,2,York 14U B National,3,1226,P,Passion,,,1,2,1,5,3,3,,,1,5
9/11/21,16:40,York Ice Arena,1,49,14U B National,Snider Hockey 14U B National,2,York 14U B National,3,1219,L,Neme,,,3,1,0,2,4,4,,,0,4
9/12/21,13:15,Aston Ice Works,1,143,14U American,Cap City Vipers 14U A American,0,Delco Phantoms Hahn 14U A AM,9,1221,O,Needy,,,3,1,1,1,0,1,,,0,3
9/12/21,13:15,Aston Ice Works,1,143,14U American,Cap City Vipers 14U A American,0,Delco Phantoms Hahn 14U A AM,9,1229,Chris,Makos,,,4,1,0,2,4,3,,,0,4
9/12/21,10:30,Exton PowerPlay,1,201,14U American,Quakers 14U A American,1,Kings 14U A American,0,1216,I,Norm,,,0,2,0,4,2,2,,,0,4
9/12/21,10:30,Exton PowerPlay,1,201,14U American,Quakers 14U A American,1,Kings 14U A American,0,1217,J,Nixon,,,4,1,1,3,0,1,,,0,4
9/12/21,18:30,Hatfield Ice Arena,2,208,14U National,Haverford Hawks 14U A Nat,5,Genesis Hockey Blue,2,1230,MM,Mushy,,,1,5,1,3,5,5,,,1,5
9/12/21,18:30,Hatfield Ice Arena,2,208,14U National,Haverford Hawks 14U A Nat,5,Genesis Hockey Blue,2,1218,K,Nandy,,,1,1,0,2,0,2,,,0,2
9/12/21,10:35,Haverford Skatium,1,234,14U National,Hershey 14U A Nat,3,Haverford Hawks 14U A Nat,0,1229,Chris,Makos,,,4,3,0,4,3,1,,,0,4
9/12/21,10:35,Haverford Skatium,1,234,14U National,Hershey 14U A Nat,3,Haverford Hawks 14U A Nat,0,1231,N,Mustard,,,2,0,0,2,3,3,,,0,3
9/12/21,16:15,Ice Line,1,134,14U AA,Genesis Hockey Club 14U AA,6,Team Philadelphia 14U AA,3,1225,D,Plate,,,4,4,3,2,1,5,,,1,5
9/12/21,16:15,Ice Line,1,134,14U AA,Genesis Hockey Club 14U AA,6,Team Philadelphia 14U AA,3,1219,L,Neme,,,2,3,2,1,0,2,,,0,3
9/12/21,16:30,Ice Line,3,270,14U American,Royals 14U A American,3,Team Phila 14U A American,5,1227,Q,Plate,,,2,5,1,2,3,3,,,1,5
9/12/21,16:30,Ice Line,3,270,14U American,Royals 14U A American,3,Team Phila 14U A American,5,1225,D,Plate,,,4,1,1,5,4,2,,,1,5
9/12/21,16:30,Klick Lewis Arena,1,192,14U National,Genesis Hockey Green,4,Palmyra 14U A National,5,1228,Marco,Morales,,,5,3,3,2,1,2,,,1,5
9/12/21,16:30,Klick Lewis Arena,1,192,14U National,Genesis Hockey Green,4,Palmyra 14U A National,5,1214,H,Fairmont,,,3,3,2,3,4,2,,,2,4
9/12/21,12:00,Northeast Skate Zone,1,131,14U American,Haverford Hawks 14U A American,4,Blazers 14U A American,2,1225,D,Plate,,,2,2,2,1,2,2,,,1,2
9/12/21,12:00,Northeast Skate Zone,1,131,14U American,Haverford Hawks 14U A American,4,Blazers 14U A American,2,1224,C,Pinky,,,3,3,2,5,2,3,,,2,5
9/12/21,13:40,Northeast Skate Zone,2,158,14U National,LV Phantoms Youth 14U A National,5,Blazers 14U A National,1,1230,MM,Mushy,,,1,4,0,1,3,3,,,0,4
9/12/21,13:40,Northeast Skate Zone,2,158,14U National,LV Phantoms Youth 14U A National,5,Blazers 14U A National,1,1220,L,Nump,,,3,0,3,1,4,2,,,0,4
9/12/21,14:40,Northeast Skate Zone,3,109,14U B National,Jr. Pens* 14U B National,7,Rizzo Rink* 14U B Nat,4,1214,H,Fairmont,,,2,4,4,3,3,4,,,2,4
9/12/21,14:40,Northeast Skate Zone,3,109,14U B National,Jr. Pens* 14U B National,7,Rizzo Rink* 14U B Nat,4,1215,R,Follow,,,3,2,3,2,3,3,,,2,3
9/12/21,19:30,Northeast Skate Zone,1,157,14U National,Wissahickon 14U A Nat,3,Blazers 14U A National,3,1218,K,Nandy,,,3,2,2,2,1,2,,,1,3
9/12/21,19:30,Northeast Skate Zone,1,157,14U National,Wissahickon 14U A Nat,3,Blazers 14U A National,3,1213,G,Flapjack,,,4,3,3,2,3,2,,,2,4
9/12/21,17:30,Oaks Center Ice,1,74,14U B National,Grundy Senators 14U B National,1,VF Colonials 14U B National,7,1217,J,Nixon,,,0,4,1,0,2,4,,,0,4
9/12/21,17:30,Oaks Center Ice,1,74,14U B National,Grundy Senators 14U B National,1,VF Colonials 14U B National,7,1214,H,Fairmont,,,2,2,3,3,3,3,,,2,3
9/12/21,12:30,Regency Ice Rink,1,92,14U National,Genesis Hockey Blue,1,Central Penn 14U A Nat,4,1212,F,Fairview,,,3,3,3,3,2,3,,,2,3
9/12/21,12:30,Regency Ice Rink,1,92,14U National,Genesis Hockey Blue,1,Central Penn 14U A Nat,4,1231,N,Mustard,,,2,2,5,3,4,4,,,2,5
9/12/21,10:45,Skate Club of Wilmingon,1,119,14U American,Delco Phantoms Klapko 14U A American,5,LV Phantoms 14U A American,7,1229,Chris,Makos,,,4,1,2,0,3,2,,,0,4
9/12/21,10:45,Skate Club of Wilmingon,1,119,14U American,Delco Phantoms Klapko 14U A American,5,LV Phantoms 14U A American,7,1225,D,Plate,,,2,2,5,1,2,3,,,1,5
9/12/21,17:30,Skate Club of Wilmington,1,163,14U American,VF Colonials 14U AAM,9,Delco Phantoms Klapko 14U A American,0,1219,L,Neme,,,2,2,3,0,3,2,,,0,3
9/12/21,17:30,Skate Club of Wilmington,1,163,14U American,VF Colonials 14U AAM,9,Delco Phantoms Klapko 14U A American,0,1229,Chris,Makos,,,2,3,3,2,4,4,,,2,4
9/12/21,15:30,Wissahickon Skating Rink,1,80,14U National,Team Phila 14U A Nat,3,Wissahickon 14U A Nat,3,1224,C,Pinky,,,4,2,3,2,1,2,,,1,4
9/12/21,15:30,Wissahickon Skating Rink,1,80,14U National,Team Phila 14U A Nat,3,Wissahickon 14U A Nat,3,1217,J,Nixon,,,2,3,3,3,3,2,,,2,3
09/17/21,19:20,Hatfield Ice Arena,1,85,14U AA,Delaware Ducks 14U AA,2,Genesis Hockey Club 14U AA,4,1227,Q,Plate,,,4,4,3,1,5,3,,,1,5
09/17/21,19:20,Hatfield Ice Arena,1,85,14U AA,Delaware Ducks 14U AA,2,Genesis Hockey Club 14U AA,4,1224,C,Pinky,,,1,5,3,2,1,4,,,1,5
9/18/21,16:15,Aston Ice Works,2,149,14U American,Kings 14U A American,7,Delco Phantoms Hahn 14U A AM,4,1219,L,Neme,,,3,1,1,3,4,1,,,1,4
9/18/21,16:15,Aston Ice Works,2,149,14U American,Kings 14U A American,7,Delco Phantoms Hahn 14U A AM,4,1221,O,Needy,,,0,1,1,3,1,0,,,0,3
9/18/21,13:00,CCSC,1,260,14U National,Cap City 14U A Nat,5,Chester County 14U A National,9,1219,L,Neme,,,3,1,3,2,4,2,,,1,4
9/18/21,13:00,CCSC,1,260,14U National,Cap City 14U A Nat,5,Chester County 14U A National,9,1218,K,Nandy,,,3,1,0,2,2,4,,,0,4
9/18/21,13:00,Class of '23,1,85,14U B National,Jr. Pens* 14U B National,5,Snider Hockey 14U B National,0,1222,A,Paul,,,5,4,3,3,4,4,,,3,5
9/18/21,13:00,Class of '23,1,85,14U B National,Jr. Pens* 14U B National,5,Snider Hockey 14U B National,0,1230,MM,Mushy,,,1,2,0,3,4,4,,,0,4
9/18/21,14:20,Class of '23,1,108,14U American,Cap City Vipers 14U A American,1,Snider Hockey 14U A American,8,1217,J,Nixon,,,2,3,1,3,4,1,,,1,4
9/18/21,14:20,Class of '23,1,108,14U American,Cap City Vipers 14U A American,1,Snider Hockey 14U A American,8,1231,N,Mustard,,,2,5,2,4,1,4,,,1,5
9/18/21,13:00,Exton PowerPlay,1,170,14U B National,Haverford 14U B National,0,Kings 14U B National,5,1212,F,Fairview,,,3,3,2,3,3,2,,,2,3
9/18/21,13:00,Exton PowerPlay,1,170,14U B National,Haverford 14U B National,0,Kings 14U B National,5,1224,C,Pinky,,,2,1,5,3,3,4,,,1,5
9/18/21,7:20,Northeast Skate Zone,2,110,14U B National,Royals 14U B National,12,Rizzo Rink* 14U B Nat,0,1212,F,Fairview,,,2,2,3,4,3,4,,,2,4
9/18/21,7:20,Northeast Skate Zone,2,110,14U B National,Royals 14U B National,12,Rizzo Rink* 14U B Nat,0,1221,O,Needy,,,1,4,2,4,3,1,,,1,4
9/18/21,13:30,Northeast Skate Zone,3,93,14U National,Snider Hockey 14U AN,9,Central Penn 14U A Nat,2,1228,Marco,Morales,,,3,1,3,4,1,3,,,1,4
9/18/21,13:30,Northeast Skate Zone,3,93,14U National,Snider Hockey 14U AN,9,Central Penn 14U A Nat,2,1231,N,Mustard,,,1,3,1,0,3,3,,,0,3
09/18/21,17:15,Oaks Center Ice,2,53,14U AA,Kings 14U AA,0,VF Colonials 14U AA,7,1216,I,Norm,,,3,4,2,1,3,0,,,0,4
09/18/21,17:15,Oaks Center Ice,2,53,14U AA,Kings 14U AA,0,VF Colonials 14U AA,7,1221,O,Needy,,,2,2,2,1,4,3,,,1,4
9/18/21,17:00,Steel Ice Center,1,120,14U American,Wissahickon 14U A American,3,LV Phantoms 14U A American,8,1230,MM,Mushy,,,3,3,0,1,2,5,,,0,5
9/18/21,17:00,Steel Ice Center,1,120,14U American,Wissahickon 14U A American,3,LV Phantoms 14U A American,8,1219,L,Neme,,,1,2,4,2,4,0,,,0,4
9/18/21,14:45,University of Delaware Gold  ,1,242,14U American,Team Phila 14U A American,5,Jr Blue Hens 14U A American,3,1212,F,Fairview,,,2,3,2,2,3,3,,,2,3
9/18/21,14:45,University of Delaware Gold  ,1,242,14U American,Team Phila 14U A American,5,Jr Blue Hens 14U A American,3,1215,R,Follow,,,3,3,3,3,3,4,,,3,4
9/19/21,17:15,Aston Ice Works,4,177,14U National,LV Phantoms Youth 14U A National,10,Delco Phantoms 14U A Nat,3,1228,Marco,Morales,,,2,1,1,4,2,5,,,1,5
9/19/21,17:15,Aston Ice Works,4,177,14U National,LV Phantoms Youth 14U A National,10,Delco Phantoms 14U A Nat,3,1230,MM,Mushy,,,4,3,2,4,4,1,,,1,4
9/19/21,17:30,Class of '23,1,86,14U B National,Grundy Senators 14U B National,3,Snider Hockey 14U B National,7,1216,I,Norm,,,3,3,4,3,0,2,,,0,4
9/19/21,17:30,Class of '23,1,86,14U B National,Grundy Senators 14U B National,3,Snider Hockey 14U B National,7,1225,D,Plate,,,2,1,4,5,4,4,,,1,5
09/19/21,11:00,Exton PowerPlay,1,98,14U AA,Royals 14U AA,7,Kings 14U AA,3,1213,G,Flapjack,,,3,3,4,4,4,2,,,2,4
09/19/21,11:00,Exton PowerPlay,1,98,14U AA,Royals 14U AA,7,Kings 14U AA,3,1226,P,Passion,,,4,4,4,2,5,5,,,2,5
9/19/21,12:35,Exton PowerPlay,1,202,14U American,Grundy Senators 14U A American,4,Kings 14U A American,4,1231,N,Mustard,,,2,1,2,4,3,1,,,1,4
9/19/21,12:35,Exton PowerPlay,1,202,14U American,Grundy Senators 14U A American,4,Kings 14U A American,4,1211,E,Fella,,,4,4,3,4,2,4,,,2,4
09/19/21,11:20,Hatfield Ice Arena,2,86,14U AA,Delaware Ducks 14U AA,6,Genesis Hockey Club 14U AA,1,1215,R,Follow,,,4,4,3,4,4,2,,,2,4
09/19/21,11:20,Hatfield Ice Arena,2,86,14U AA,Delaware Ducks 14U AA,6,Genesis Hockey Club 14U AA,1,1224,C,Pinky,,,3,5,5,5,1,3,,,1,5
9/19/21,7:15,Haverford Skatium,1,194,14U B National,VF Colonials 14U B National,7,Haverford 14U B National,3,1230,MM,Mushy,,,1,4,1,1,4,2,,,1,4
9/19/21,7:15,Haverford Skatium,1,194,14U B National,VF Colonials 14U B National,7,Haverford 14U B National,3,1218,K,Nandy,,,0,1,3,4,2,1,,,0,4
9/19/21,8:50,Klick Lewis Arena,2,135,14U B National,Kings 14U B National,1,Palmyra 14U B National,2,1214,H,Fairmont,,,3,2,3,4,3,2,,,2,4
9/19/21,8:50,Klick Lewis Arena,2,135,14U B National,Kings 14U B National,1,Palmyra 14U B National,2,1212,F,Fairview,,,4,3,2,3,3,3,,,2,4
9/19/21,16:20,Northeast Skate Zone,1,111,14U B National,Haverford 14U B National,9,Rizzo Rink* 14U B Nat,2,1211,E,Fella,,,4,3,2,2,3,2,,,2,4
9/19/21,16:20,Northeast Skate Zone,1,111,14U B National,Haverford 14U B National,9,Rizzo Rink* 14U B Nat,2,1225,D,Plate,,,4,2,4,3,4,3,,,2,4
09/19/21,18:45,Oaks Center Ice,3,57,14U AA,Royals 14U AA,6,VF Colonials 14U AA,3,1228,Marco,Morales,,,1,0,3,2,1,3,,,0,3
09/19/21,18:45,Oaks Center Ice,3,57,14U AA,Royals 14U AA,6,VF Colonials 14U AA,3,1229,Chris,Makos,,,5,0,5,0,3,5,,,0,5
9/19/21,14:10,Revolution Ice Gardens,1,181,14U B National,Palmyra 14U B National,3,Royals 14U B National,4,1214,H,Fairmont,,,2,3,3,4,4,2,,,2,4
9/19/21,14:10,Revolution Ice Gardens,1,181,14U B National,Palmyra 14U B National,3,Royals 14U B National,4,1225,D,Plate,,,3,3,2,1,5,3,,,1,5
9/19/21,12:30,Skate Club of Wilmingon,1,121,14U American,Cap City Vipers 14U A American,1,LV Phantoms 14U A American,5,1220,L,Nump,,,1,3,2,1,3,0,,,0,3
9/19/21,12:30,Skate Club of Wilmingon,1,121,14U American,Cap City Vipers 14U A American,1,LV Phantoms 14U A American,5,1231,N,Mustard,,,4,4,0,1,1,2,,,0,4
9/19/21,19:10,Skate Club of Wilmingon,1,144,14U American,Delaware Ducks 14U A American,6,Delco Phantoms Hahn 14U A AM,2,1215,R,Follow,,,2,3,2,2,4,2,,,2,4
9/19/21,19:10,Skate Club of Wilmingon,1,144,14U American,Delaware Ducks 14U A American,6,Delco Phantoms Hahn 14U A AM,2,1220,L,Nump,,,0,2,3,1,1,0,,,0,3
9/19/21,17:15,Steel Ice Center,1,235,14U National,Snider Hockey 14U AN,2,Haverford Hawks 14U A Nat,3,1211,E,Fella,,,3,2,2,3,3,3,,,2,3
9/19/21,17:15,Steel Ice Center,1,235,14U National,Snider Hockey 14U AN,2,Haverford Hawks 14U A Nat,3,1223,B,Postroy,,,2,4,1,2,3,5,,,1,5
9/19/21,14:00,The Barn at Chester County Skating Club,1,209,14U B National,LV Phantoms 14U B National,1,Chester County 14U B Nat,0,1220,L,Nump,,,3,1,2,3,2,0,,,0,3
9/19/21,14:00,The Barn at Chester County Skating Club,1,209,14U B National,LV Phantoms 14U B National,1,Chester County 14U B Nat,0,1228,Marco,Morales,,,1,0,2,0,2,1,,,0,2
9/19/21,12:30,Twin Ponds East,2,94,14U National,Cap City 14U A Nat,5,Central Penn 14U A Nat,3,1213,G,Flapjack,,,4,3,3,2,4,3,,,2,4
9/19/21,12:30,Twin Ponds East,2,94,14U National,Cap City 14U A Nat,5,Central Penn 14U A Nat,3,1230,MM,Mushy,,,1,5,2,3,5,4,,,1,5
9/19/21,17:00,University of Delaware Gold  ,1,245,14U American,Haverford Hawks 14U A American,7,Jr Blue Hens 14U A American,1,1212,F,Fairview,,,4,2,4,3,3,3,,,2,4
9/19/21,17:00,University of Delaware Gold  ,1,245,14U American,Haverford Hawks 14U A American,7,Jr Blue Hens 14U A American,1,1224,C,Pinky,,,2,2,2,4,1,5,,,1,5
9/19/21,17:00,Wissahickon Skating Rink,1,72,14U American,Genesis Hockey Club 14U A American,1,Wissahickon 14U A American,5,1218,K,Nandy,,,0,1,2,3,2,4,,,0,4
9/19/21,17:00,Wissahickon Skating Rink,1,72,14U American,Genesis Hockey Club 14U A American,1,Wissahickon 14U A American,5,1213,G,Flapjack,,,3,3,3,3,3,3,,,3,3
9/19/21,16:40,York Ice Arena,1,50,14U B National,VF Colonials 14U B National,6,York 14U B National,3,1211,E,Fella,,,2,3,3,3,3,4,,,2,4
9/19/21,16:40,York Ice Arena,1,50,14U B National,VF Colonials 14U B National,6,York 14U B National,3,1231,N,Mustard,,,1,3,4,3,3,3,,,1,4
9/24/21,19:00,Haverford Skatium,1,188,14U National,Cap City 14U A Nat,0,Palmyra 14U A National,8,1224,C,Pinky,,,2,3,4,4,3,1,,,1,4
9/24/21,19:00,Haverford Skatium,1,188,14U National,Cap City 14U A Nat,0,Palmyra 14U A National,8,1219,L,Neme,,,2,0,4,3,2,2,,,0,4
9/24/21,18:30,Northeast Skate Zone,2,159,14U National,Genesis Hockey Blue,1,Blazers 14U A National,3,1211,E,Fella,,,2,4,2,4,3,2,,,2,4
9/24/21,18:30,Northeast Skate Zone,2,159,14U National,Genesis Hockey Blue,1,Blazers 14U A National,3,1217,J,Nixon,,,1,1,3,3,1,3,,,1,3
9/25/21,9:40,Class of '23,1,109,14U American,Haverford Hawks 14U A American,6,Snider Hockey 14U A American,5,1220,L,Nump,,,4,1,0,2,3,0,,,0,4
9/25/21,9:40,Class of '23,1,109,14U American,Haverford Hawks 14U A American,6,Snider Hockey 14U A American,5,1217,J,Nixon,,,0,0,3,2,2,0,,,0,3
9/25/21,15:10,Hatfield Ice Arena,1,189,14U American,Cap City Vipers 14U A American,0,Genesis Hockey Club 14U A American,7,1230,MM,Mushy,,,2,1,3,1,0,3,,,0,3
9/25/21,15:10,Hatfield Ice Arena,1,189,14U American,Cap City Vipers 14U A American,0,Genesis Hockey Club 14U A American,7,1213,G,Flapjack,,,4,3,3,3,3,4,,,3,4
9/25/21,17:15,Ice Line,3,271,14U American,VF Colonials 14U AAM,7,Team Phila 14U A American,0,1230,MM,Mushy,,,4,1,0,1,3,1,,,0,4
9/25/21,17:15,Ice Line,3,271,14U American,VF Colonials 14U AAM,7,Team Phila 14U A American,0,1214,H,Fairmont,,,4,4,3,2,4,3,,,2,4
9/25/21,20:45,Klick Lewis Arena,3,246,14U National,Delco Phantoms 14U A Nat,2,Team Phila 14U A Nat,6,1225,D,Plate,,,1,3,2,3,1,2,,,1,3
9/25/21,20:45,Klick Lewis Arena,3,246,14U National,Delco Phantoms 14U A Nat,2,Team Phila 14U A Nat,6,1228,Marco,Morales,,,3,4,1,3,0,4,,,0,4
9/25/21,12:00,Lancaster Ice Rink,1,121,14U B National,Royals 14U B National,4,Lancaster 14U B National,0,1228,Marco,Morales,,,0,4,4,5,2,4,,,0,5
9/25/21,12:00,Lancaster Ice Rink,1,121,14U B National,Royals 14U B National,4,Lancaster 14U B National,0,1222,A,Paul,,,1,5,4,1,3,5,,,1,5
9/25/21,10:15,Northeast Skate Zone,1,145,14U National,Central Penn 14U A Nat,5,Hershey 14U A Nat,3,1212,F,Fairview,,,2,4,2,2,2,3,,,2,4
9/25/21,10:15,Northeast Skate Zone,1,145,14U National,Central Penn 14U A Nat,5,Hershey 14U A Nat,3,1221,O,Needy,,,4,2,1,2,3,2,,,1,4
9/25/21,14:40,Northeast Skate Zone,2,132,14U American,Wissahickon 14U A American,6,Blazers 14U A American,0,1219,L,Neme,,,3,2,2,1,4,3,,,1,4
9/25/21,14:40,Northeast Skate Zone,2,132,14U American,Wissahickon 14U A American,6,Blazers 14U A American,0,1230,MM,Mushy,,,1,1,1,4,1,3,,,1,4
9/25/21,12:00,Oaks Center Ice,3,83,14U B National,Snider Hockey 14U B National,8,VF Colonials 14U B National,4,1217,J,Nixon,,,3,1,0,2,2,3,,,0,3
9/25/21,12:00,Oaks Center Ice,3,83,14U B National,Snider Hockey 14U B National,8,VF Colonials 14U B National,4,1212,F,Fairview,,,2,3,3,3,4,3,,,2,4
09/25/21,15:00,Oaks Center Ice,1,49,14U AA,Delaware Ducks 14U AA,2,VF Colonials 14U AA,4,1215,R,Follow,,,2,2,3,3,3,2,,,2,3
09/25/21,15:00,Oaks Center Ice,1,49,14U AA,Delaware Ducks 14U AA,2,VF Colonials 14U AA,4,1231,N,Mustard,,,0,4,5,2,1,1,,,0,5
9/25/21,10:10,Regency Ice Rink,1,81,14U National,LV Phantoms Youth 14U A National,4,Wissahickon 14U A Nat,2,1231,N,Mustard,,,3,3,5,0,1,0,,,0,5
9/25/21,10:10,Regency Ice Rink,1,81,14U National,LV Phantoms Youth 14U A National,4,Wissahickon 14U A Nat,2,1213,G,Flapjack,,,3,3,2,3,3,4,,,2,4
9/25/21,12:00,Skate Club of Wilmingon,1,122,14U American,Grundy Senators 14U A American,7,LV Phantoms 14U A American,1,1215,R,Follow,,,4,3,3,3,4,4,,,3,4
9/25/21,12:00,Skate Club of Wilmingon,1,122,14U American,Grundy Senators 14U A American,7,LV Phantoms 14U A American,1,1226,P,Passion,,,3,4,4,2,2,5,,,2,5
9/25/21,17:30,Skate Club of Wilmington,1,151,14U American,Royals 14U A American,3,Delco Phantoms Hahn 14U A AM,2,1223,B,Postroy,,,4,1,2,4,2,1,,,1,4
9/25/21,17:30,Skate Club of Wilmington,1,151,14U American,Royals 14U A American,3,Delco Phantoms Hahn 14U A AM,2,1220,L,Nump,,,1,2,1,1,1,3,,,1,3
9/25/21,13:00,University of Delaware Gold Areana,1,238,14U American,Quakers 14U A American,2,Jr Blue Hens 14U A American,5,1217,J,Nixon,,,3,1,3,2,1,1,,,1,3
9/25/21,13:00,University of Delaware Gold Areana,1,238,14U American,Quakers 14U A American,2,Jr Blue Hens 14U A American,5,1216,I,Norm,,,1,2,3,3,2,0,,,0,3
9/25/21,18:00,Wissahickon Skating Rink,1,209,14U National,Palmyra 14U A National,2,Genesis Hockey Blue,2,1211,E,Fella,,,2,2,4,4,2,2,,,2,4
9/25/21,18:00,Wissahickon Skating Rink,1,209,14U National,Palmyra 14U A National,2,Genesis Hockey Blue,2,1225,D,Plate,,,5,4,2,2,2,3,,,2,5
09/25/21,18:40,York Ice Arena,1,26,14U AA,Lancaster 14U AA,4,York Devils 14U AA,1,1215,R,Follow,,,3,3,4,4,4,3,,,3,4
09/25/21,18:40,York Ice Arena,1,26,14U AA,Lancaster 14U AA,4,York Devils 14U AA,1,1217,J,Nixon,,,3,2,1,3,2,1,,,1,3
9/26/21,12:00,CCSC,1,182,14U National,Central Penn 14U A Nat,3,Palmyra 14U A National,4,1231,N,Mustard,,,3,3,2,4,3,5,,,2,5
9/26/21,12:00,CCSC,1,182,14U National,Central Penn 14U A Nat,3,Palmyra 14U A National,4,1226,P,Passion,,,3,2,5,2,4,3,,,2,5
9/26/21,14:40,Hatfield Ice Arena,1,190,14U American,LV Phantoms 14U A American,6,Genesis Hockey Club 14U A American,1,1231,N,Mustard,,,1,4,2,2,4,4,,,1,4
